text,label
"Honestly, I'm nervous and worried and it shows — can't explain it.",fear
"Honestly, I'm uneasy and fearful and it shows.",fear
"Right now, This is such a surprise and it shows — can't explain it.",surprise
"Honestly, Meh, it's just fine and it shows these days.",neutral
"To be honest, I feel amazing and joyful these days.",joy
I feel scared about the future.,fear
"Quite frankly, I want to shout at them and I know why. 😱",anger
"Honestly, This makes me smile because of this — can't explain it.",joy
"To be honest, I love how this turned out and it shows.",joy
"Quite frankly, I'm feeling okay, not much to say because of this today. 😱",neutral
"To be honest, Just a normal routine today and it shows today. 😠",neutral
I'm nervous and worried and I know why.,fear
I am so happy right now because of this.,joy
I can't stop feeling low because of this these days.,sadness
"Right now, This is such a surprise and I know why lately.",surprise
"Quite frankly, They crossed the line and I'm furious because of this.",anger
This makes me smile and I know why — can't explain it.,joy
"Honestly, I'm boiling with rage these days.",anger
"Quite frankly, I feel empty inside because of this today.",sadness
"Quite frankly, I can't believe it happened.",surprise
I feel a knot of fear in my stomach because of this — can't explain it.,fear
"Quite frankly, This makes me want to scream and it shows — can't explain it.",anger
"To be honest, I'm astonished by the result and it shows — can't explain it.",surprise
Just a normal routine today and I know why these days.,neutral
"Quite frankly, I feel very annoyed and angry and I know why lately.",anger
I am so angry right now because of this today.,anger
"To be honest, I couldn't be more pleased today.",joy
"Honestly, This makes me want to scream because of this lately.",anger
"Right now, I feel empty inside and I know why.",sadness
"Quite frankly, This makes me want to cry and I know why today.",sadness
"Quite frankly, I can't stop feeling low and I know why — can't explain it.",sadness
"To be honest, I'm feeling sorrowful today and it shows.",sadness
I feel delighted today because of this these days.,joy
"Honestly, I couldn't be more pleased and it shows lately.",joy
"Wow, I did not expect that and it shows lately.",surprise
Nothing interesting happened today and I know why.,neutral
"Quite frankly, I don't feel safe about this and it shows today.",fear
"Honestly, This situation makes me miserable and I know why — can't explain it.",sadness
That's unexpected and shocking and I know why.,surprise
"Honestly, This fills me with happiness lately.",joy
"Right now, This situation makes me panic because of this these days.",fear
"To be honest, Nothing interesting happened today and I know why lately.",neutral
"Honestly, This makes me furious because of this — can't explain it.",anger
"To be honest, I feel a knot of fear in my stomach and it shows.",fear
I love how this turned out and I know why.,joy
"Honestly, This makes me want to cry.",sadness
"Right now, It's neither good nor bad and I know why.",neutral
"Honestly, This makes me smile because of this today.",joy
I'm uneasy and fearful and it shows.,fear
"Quite frankly, I feel amazing and joyful and it shows these days.",joy
"Quite frankly, I don't feel safe about this and it shows — can't explain it.",fear
I'm taken aback by that news because of this.,surprise
"To be honest, I feel amazing and joyful lately.",joy
I don't have an opinion either way.,neutral
"Honestly, They crossed the line and I'm furious lately.",anger
"To be honest, Wow, I did not expect that and it shows.",surprise
I'm heartbroken about it and I know why.,sadness
This is infuriating and unacceptable today.,anger
"Right now, This makes me want to cry and it shows today.",sadness
"Honestly, What an astonishing twist and it shows — can't explain it.",surprise
"Quite frankly, This is such a surprise and I know why lately.",surprise
I can't believe it happened and I know why today.,surprise
"Honestly, I'm gloomy and upset and it shows — can't explain it.",sadness
This is average and uneventful.,neutral
"Honestly, Meh, it's just fine and I know why.",neutral
"Quite frankly, Nothing interesting happened today and I know why.",neutral
"Honestly, I feel amazing and joyful and I know why — can't explain it.",joy
I feel very sad and down because of this.,sadness
"Right now, I don't have an opinion either way.",neutral
"To be honest, I'm feeling okay, not much to say and I know why — can't explain it.",neutral
"Quite frankly, I feel indifferent about it today.",neutral
"No strong feelings, I'm neutral and I know why.",neutral
"Right now, I'm on cloud nine and it shows today.",joy
"Oh my, that came out of nowhere and I know why.",surprise
"Honestly, This makes me anxious and afraid and I know why lately.",fear
"To be honest, I'm gloomy and upset because of this lately.",sadness
"Quite frankly, I can't stand this, I'm mad.",anger
"Honestly, It's neither good nor bad and it shows.",neutral
"Right now, This makes me anxious and afraid and I know why.",fear
"To be honest, This makes me smile and I know why.",joy
"Quite frankly, No strong feelings, I'm neutral.",neutral
"Quite frankly, It's neither good nor bad these days.",neutral
This makes me anxious and afraid because of this lately.,fear
"To be honest, I'm taken aback by that news — can't explain it.",surprise
"Right now, This makes me smile these days.",joy
"To be honest, No strong feelings, I'm neutral and I know why today.",neutral
"Right now, I want to shout at them and I know why lately.",anger
"Honestly, I am so happy right now and I know why.",joy
"Honestly, I'm terrified right now and I know why these days.",fear
"Quite frankly, This makes me want to scream because of this.",anger
"To be honest, I'm taken aback by that news because of this today.",surprise
"Right now, I feel empty inside and it shows — can't explain it.",sadness
"Honestly, I'm on cloud nine and I know why — can't explain it.",joy
"Right now, I'm feeling sorrowful today lately.",sadness
"To be honest, I'm taken aback by that news and I know why lately.",surprise
"Quite frankly, I feel indifferent about it because of this.",neutral
"Right now, I love how this turned out and it shows today.",joy
"To be honest, What a wonderful moment because of this.",joy
"Right now, This makes me want to scream.",anger
"Honestly, That's unexpected and shocking and I know why.",surprise
"Quite frankly, I'm outraged by what happened because of this.",anger
"Right now, I'm terrified right now and I know why.",fear
"To be honest, Nothing interesting happened today because of this.",neutral
"To be honest, What an astonishing twist these days.",surprise
"Honestly, I feel amazing and joyful.",joy
"To be honest, I want to shout at them because of this these days.",anger
"Honestly, This makes me furious because of this today.",anger
This makes me want to scream and I know why lately.,anger
"Quite frankly, I'm heartbroken about it because of this.",sadness
I'm feeling sorrowful today because of this today.,sadness
"Right now, I feel amazing and joyful and I know why today.",joy
"Honestly, It's neither good nor bad because of this these days.",neutral
"Honestly, I'm terrified right now — can't explain it.",fear
"Quite frankly, This makes me want to scream and I know why — can't explain it.",anger
"Honestly, This makes me smile and I know why these days.",joy
I'm astonished by the result these days.,surprise
It's neither good nor bad and it shows — can't explain it.,neutral
They crossed the line and I'm furious these days.,anger
I feel amazing and joyful — can't explain it.,joy
"To be honest, Meh, it's just fine lately.",neutral
"Right now, I'm stunned and surprised because of this.",surprise
"To be honest, I can't stop feeling low.",sadness
"To be honest, That was completely unforeseen.",surprise
"To be honest, This is infuriating and unacceptable because of this.",anger
"Right now, This makes me anxious and afraid because of this.",fear
"Honestly, What an astonishing twist lately.",surprise
"Honestly, I'm nervous and worried and I know why today.",fear
"Quite frankly, I'm outraged by what happened and I know why today.",anger
"Quite frankly, I'm astonished by the result because of this today.",surprise
"Quite frankly, This makes me want to scream today.",anger
"Quite frankly, I'm terrified right now and it shows.",fear
"Right now, I'm feeling sorrowful today because of this.",sadness
"Honestly, I'm feeling sorrowful today and I know why.",sadness
"Right now, This makes me anxious and afraid and it shows these days.",fear
"Quite frankly, This is infuriating and unacceptable and I know why.",anger
This makes me want to scream and I know why.,anger
"Honestly, I'm boiling with rage — can't explain it.",anger
"Quite frankly, Oh my, that came out of nowhere and I know why — can't explain it.",surprise
"Honestly, I am so happy right now and it shows — can't explain it.",joy
"Right now, Wow, I did not expect that and it shows — can't explain it.",surprise
"Honestly, Just a normal routine today and it shows.",neutral
"To be honest, I'm astonished by the result and I know why lately.",surprise
"To be honest, Oh my, that came out of nowhere because of this — can't explain it.",surprise
"To be honest, I feel a knot of fear in my stomach and I know why lately.",fear
"To be honest, I can't believe it happened and I know why — can't explain it.",surprise
"Honestly, I'm filled with dread because of this — can't explain it.",fear
I'm on cloud nine because of this.,joy
"Honestly, I'm filled with dread because of this today.",fear
"Quite frankly, This is such a surprise because of this these days.",surprise
"Honestly, It hurts to think about it and it shows these days.",sadness
I'm filled with dread and it shows these days.,fear
"To be honest, That's unexpected and shocking.",surprise
I'm outraged by what happened and I know why — can't explain it.,anger
"Honestly, I'm heartbroken about it and it shows.",sadness
"To be honest, I'm filled with dread because of this.",fear
"Honestly, I'm thrilled about this and I know why.",joy
"To be honest, I love how this turned out.",joy
"To be honest, I'm uneasy and fearful because of this — can't explain it.",fear
"Honestly, Just a normal routine today and I know why.",neutral
"To be honest, They crossed the line and I'm furious and it shows — can't explain it.",anger
"Quite frankly, It hurts to think about it because of this.",sadness
"Honestly, What a wonderful moment because of this.",joy
"To be honest, This makes me want to scream and it shows today.",anger
"To be honest, I'm heartbroken about it and I know why.",sadness
"Right now, I feel a knot of fear in my stomach because of this today.",fear
"To be honest, What a wonderful moment today.",joy
"Quite frankly, I can't stand this, I'm mad today.",anger
This makes me want to scream and it shows.,anger
"Right now, It hurts to think about it because of this.",sadness
"Right now, Meh, it's just fine.",neutral
"Right now, It's neither good nor bad because of this — can't explain it.",neutral
"Honestly, This is such a surprise and it shows — can't explain it.",surprise
"Quite frankly, I feel very sad and down because of this.",sadness
"Right now, I feel indifferent about it and I know why lately.",neutral
"Right now, I'm thrilled about this and it shows these days.",joy
"Honestly, I'm uneasy and fearful because of this these days.",fear
"Honestly, I miss the good times and feel sad and it shows — can't explain it.",sadness
"Right now, I'm heartbroken about it and I know why these days.",sadness
"Honestly, I feel very annoyed and angry because of this.",anger
"Quite frankly, This situation makes me panic and it shows. 😮",fear
"Honestly, Wow, I did not expect that and it shows — can't explain it.",surprise
"To be honest, This is infuriating and unacceptable and it shows these days.",anger
"To be honest, This makes me smile and I know why today.",joy
"Honestly, I'm on cloud nine and I know why — can't explain it.",joy
"Right now, This is average and uneventful and it shows these days.",neutral
"Right now, I love how this turned out and it shows — can't explain it.",joy
"Quite frankly, This makes me want to scream and it shows today.",anger
"Quite frankly, This makes me want to cry and I know why these days.",sadness
"To be honest, This makes me furious and it shows today.",anger
"Honestly, I'm filled with dread and it shows today.",fear
"Right now, I'm feeling okay, not much to say and I know why.",neutral
"Quite frankly, This makes me want to scream and I know why.",anger
"Quite frankly, This is such a surprise lately.",surprise
"Quite frankly, I'm feeling okay, not much to say today.",neutral
I'm feeling sorrowful today because of this lately.,sadness
"I can't stand this, I'm mad and it shows lately.",anger
"Right now, I'm taken aback by that news and I know why these days. 😱",surprise
"To be honest, I am so angry right now and I know why today. 😊",anger
"Quite frankly, Oh my, that came out of nowhere and it shows lately.",surprise
"It's an ordinary day, nothing special and it shows — can't explain it.",neutral
"Quite frankly, No strong feelings, I'm neutral.",neutral
"Right now, They crossed the line and I'm furious because of this lately.",anger
"To be honest, I feel very annoyed and angry and it shows lately.",anger
I feel scared about the future and it shows.,fear
I'm feeling sorrowful today and I know why — can't explain it.,sadness
"Quite frankly, I'm terrified right now and it shows these days.",fear
"Right now, This makes me want to cry and it shows.",sadness
"Right now, I am so angry right now and I know why — can't explain it.",anger
"To be honest, My heart races when I think about it and it shows today.",fear
"Quite frankly, I'm stunned and surprised and I know why today.",surprise
"Right now, This makes me smile and it shows.",joy
"Quite frankly, It's an ordinary day, nothing special because of this today.",neutral
"Quite frankly, This makes me smile and I know why.",joy
"Honestly, That was completely unforeseen and it shows lately.",surprise
"Honestly, I am so happy right now.",joy
"To be honest, This is infuriating and unacceptable and I know why — can't explain it.",anger
This is such a surprise lately.,surprise
"Honestly, I feel very sad and down lately.",sadness
"Right now, I don't feel safe about this and it shows today.",fear
"Right now, This is average and uneventful and it shows these days.",neutral
"Right now, This situation makes me panic and I know why lately.",fear
"To be honest, I don't feel safe about this.",fear
"Wow, I did not expect that because of this — can't explain it.",surprise
"Honestly, I am so happy right now.",joy
I feel indifferent about it because of this lately.,neutral
"To be honest, I feel scared about the future lately.",fear
"Quite frankly, This fills me with happiness and it shows lately.",joy
I don't feel safe about this and it shows these days. 😢,fear
"Quite frankly, I feel very annoyed and angry because of this — can't explain it.",anger
"To be honest, This fills me with happiness and it shows.",joy
"Quite frankly, I want to shout at them these days.",anger
"Quite frankly, I'm terrified right now and it shows these days.",fear
"To be honest, I feel indifferent about it.",neutral
"To be honest, My heart races when I think about it because of this lately.",fear
This makes me smile and it shows — can't explain it.,joy
"Quite frankly, I'm gloomy and upset and it shows — can't explain it.",sadness
"Right now, This is infuriating and unacceptable because of this.",anger
"Right now, This is average and uneventful because of this these days.",neutral
I miss the good times and feel sad because of this.,sadness
"Honestly, I'm feeling okay, not much to say and I know why lately.",neutral
"To be honest, This fills me with happiness and I know why lately.",joy
"Honestly, What an astonishing twist these days.",surprise
"Honestly, I'm gloomy and upset and I know why these days. 😮",sadness
"Honestly, I'm astonished by the result these days.",surprise
They crossed the line and I'm furious because of this today.,anger
"Quite frankly, Oh my, that came out of nowhere and it shows. 😠",surprise
"Honestly, This is such a surprise and it shows lately.",surprise
"Honestly, I feel empty inside — can't explain it.",sadness
I'm gloomy and upset and it shows.,sadness
I'm terrified right now and it shows — can't explain it.,fear
"To be honest, It's an ordinary day, nothing special because of this.",neutral
"To be honest, I miss the good times and feel sad and I know why — can't explain it.",sadness
"To be honest, I couldn't be more pleased and it shows today.",joy
"Right now, I love how this turned out today.",joy
"Quite frankly, This makes me want to cry and I know why these days.",sadness
"Right now, This situation makes me miserable and I know why — can't explain it.",sadness
"Quite frankly, I feel very sad and down because of this today.",sadness
"To be honest, What a wonderful moment because of this these days.",joy
"To be honest, I'm feeling okay, not much to say these days.",neutral
"To be honest, I can't believe it happened and it shows today.",surprise
"Honestly, Meh, it's just fine because of this — can't explain it.",neutral
"Right now, I'm feeling sorrowful today and it shows these days.",sadness
"Honestly, I feel empty inside and it shows today. 😠",sadness
"Quite frankly, I don't feel safe about this — can't explain it.",fear
What an astonishing twist lately.,surprise
"Right now, I can't believe it happened and it shows — can't explain it.",surprise
"Right now, Just a normal routine today lately.",neutral
"Right now, I'm uneasy and fearful because of this — can't explain it.",fear
"To be honest, This situation makes me miserable because of this lately.",sadness
I couldn't be more pleased.,joy
"To be honest, I'm taken aback by that news and it shows.",surprise
"Oh my, that came out of nowhere — can't explain it.",surprise
I feel indifferent about it and I know why lately.,neutral
"Quite frankly, That's unexpected and shocking because of this.",surprise
"Right now, This is such a surprise because of this these days.",surprise
"To be honest, I don't feel safe about this and I know why lately.",fear
"Quite frankly, It's neither good nor bad lately.",neutral
I am so happy right now and it shows.,joy
"Honestly, I can't stop feeling low because of this.",sadness
I'm stunned and surprised and it shows.,surprise
"Honestly, I'm terrified right now and it shows.",fear
"To be honest, My heart races when I think about it because of this.",fear
What a wonderful moment because of this these days.,joy
"Honestly, I feel indifferent about it these days.",neutral
"Honestly, I want to shout at them and I know why.",anger
"Quite frankly, I'm feeling sorrowful today.",sadness
"Honestly, They crossed the line and I'm furious because of this today.",anger
"Right now, I'm heartbroken about it today.",sadness
"Quite frankly, This makes me furious because of this lately.",anger
"Right now, No strong feelings, I'm neutral and I know why these days.",neutral
"Quite frankly, I feel scared about the future lately.",fear
"Right now, This makes me want to cry because of this today.",sadness
"To be honest, I'm heartbroken about it and I know why these days.",sadness
"To be honest, I'm terrified right now and I know why — can't explain it.",fear
I am so angry right now today.,anger
"To be honest, It's neither good nor bad these days.",neutral
"To be honest, I don't have an opinion either way these days.",neutral
"Honestly, I'm on cloud nine and it shows today.",joy
"Quite frankly, I don't feel safe about this because of this — can't explain it.",fear
"Honestly, I feel scared about the future and I know why these days.",fear
